,Unnamed: 0,Name,Homepage
225,0.0,VINCE AS,www.vince.no
231,0.0,WEBSTEP AS,www.webstep.no
233,0.0,WOLT NORWAY AS,www.wolt.com
235,0.0,ZENITEL NORWAY AS,www.zenitel.com
236,0.0,ZETADISPLAY NORWAY AS,www.prontotv.no
237,0.0,ZIVID AS,www.zivid.com
238,0.0,COMPENDIA AS,www.compendia.no
241,0.0,HALOGEN AS,www.halogen.no
242,0.0,HEWLETT-PACKARD NORGE AS,www.hpe.no
243,0.0,INMETA CONSULTING AS,www.inmeta.no
244,0.0,LINK MOBILITY GROUP AS,www.linkmobility.com
245,0.0,MOTOROLA SOLUTIONS NORWAY AS,www.motorola.com/no
247,0.0,POLITIETS IT-ENHET,www.politiet.no
249,0.0,TWODAY CONCEPTOS AS,www.conceptos.no
250,0.0,ORANGE BUSINESS DIGITAL NORWAY AS,www.digital.orange-business.com
251,0.0,KAHOOT! AS,www.kahoot.com
253,0.0,MEDIACONNECT AS,www.mediaconnect.no
256,0.0,PLYO AS,plyo.io
